#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Sep 17 13:14:06 EDT 2019,5,5,Assignment1Suite,ClearTest1+ , ,ClearTest0- EverythingTest0- GetTest0- GetTest1- InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest0- SizeTest1- SizeTest2- SizeTest3- , ,
1,Tue Sep 17 13:18:41 EDT 2019,94,89,Assignment1Suite,ClearTest0+ ClearTest1 EverythingTest0+ GetTest0+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , ,GetTest1 , ,
2,Tue Sep 17 13:19:13 EDT 2019,94,0,GetTestSuite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest1 , ,
3,Tue Sep 17 13:19:14 EDT 2019,94,0,GetTestSuite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest1 , ,
4,Tue Sep 17 13:19:20 EDT 2019,94,0,GetTestSuite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,GetTest1 , ,
5,Tue Sep 17 16:09:58 EDT 2019,100,6,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
6,Tue Sep 17 16:45:14 EDT 2019,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
7,Tue Sep 17 16:56:02 EDT 2019,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
8,Tue Sep 17 17:10:21 EDT 2019,100,0,Assignment1Suite,ClearTest0 ClearTest1 EverythingTest0 GetTest0 GetTest1 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , , , ,
9,Tue Sep 17 17:54:14 EDT 2019,5,-95,Assignment1Suite,ClearTest1 , ,ClearTest0- EverythingTest0- GetTest0- GetTest1- InsertTest0- InsertTest1- InsertTest2- InsertTest3- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- SizeTest0- SizeTest1- SizeTest2- SizeTest3- , ,
10,Tue Sep 17 18:07:05 EDT 2019,100,95,Assignment1Suite,ClearTest0+ ClearTest1 EverythingTest0+ GetTest0+ GetTest1+ InsertTest0+ InsertTest1+ InsertTest2+ InsertTest3+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0+ SizeTest1+ SizeTest2+ SizeTest3+ , , , ,
